,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
153,19,Vinho tinto argentino,Viña de Los Andes Red Blend 2023,Vermelho-rubi,"Aromas suaves, frutados e frescos","Rico, marcante e com taninos suaves",3,2,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12.5,Uvas variadas,Fecovita,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-de-los-andes-red-blend-2023.html
155,6,Vinho tinto europeu,Vigneto di Carla 2023,Vermelho-rubi,"Aromas de frutas vermelhas, como morango e cereja","Frutado, equilibrado e fácil de beber, com taninos macios e boa acidez",3,1,2,2,"Carnes brancas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Europeu,Multiregional,11,Blend,Domaine du Père Guillot,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/domaine-du-pere-guillot-vigneto-di-carla-vce-rouge-blend-2023.html
156,421,Vinho rosé europeu,Vivid Rosé,Rosa claro e translúcido,Frutas vermelhas frescas,"Doçura agradável, frutado, equilibrado e persistente",3,5,2,1,"Saladas e aperitivos, Sobremesas",Vinho rosé,750ml,Tampa de rosca,16,Europeu,,10.5,"Tempranillo, Merlot, Syrah",Castel,,2025,Em tanques de aço inox entre 2 a 4 semanas,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/vivid-rose-188751.html
158,36,Vinho tinto europeu,Nouaison Rouge,Vermelho-rubi ,"Aromas de frutas vermelhas, como morango e cereja fresca","Equilibrado e frutado, com taninos macios e acidez equilibrada",3,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Europeu,Multirregional,11,Uvas variadas,Castel Frères,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/castel-nouaison-vce-rouge.html
170,93,Vinho tinto chileno,Concha y Toro Exportacion Selecto Cabernet Sauvignon 2024,Vermelho-rubi intenso,"Frutas vermelhas e pretas maduras, como ameixa e groselha, com notas de especiarias","Rico, com corpo médio, taninos redondos e final persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12,Cabernet Sauvignon,Concha Y Toro,2024,2025,,"Avaliada em 2019 como a mais admirada marca de vinhos pela Drinks International, a Concha y Toro possui um lugar especial no coração dos clientes da Evino. Sucesso de vendas por aqui, a linha de vinhos Exportacion Selecto, criada pela vinícola, apresenta este Cabernet Sauvignon rico e perfumado, com aromas de frutas vermelhas e pretas, e especiarias.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/concha-y-toro-exportacion-selecto-cabernet-sauvignon-2024.html
180,71,Vinho rosé chileno,Pioneers Rosé 2024,Rosa brilhante,Aromas florais e de frutas vermelhas,"Refrescante, delicado, e agradável",3,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,8,Chile,Valle Central,12.5,Carménère,Cremaschi Furlotti,2024,2025,Estágio em tanques de aço inoxidável,"Pioneers Rosé faz uma homenagem aos imigrantes que trouxeram as primeiras videiras ao Chile, encontrando ali terroirs perfeitos para o cultivo vitivinícola no Novo Mundo do vinho. Em sua versão rosé, uvas colhidas à mão no Valle Central originaram um líquido refrescante e agradável, com nuances de cereja, aroma de frutas vermelhas, e notas florais. É a companhia perfeita para degustar numa tarde de sol à beira da piscina.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/pioneers-rose-2024.html
182,79,Vinho tinto italiano,Infinitum Montepulciano d'Abruzzo DOC 2021,Vermelho-rubi,Notas de cerejas maduras e amoras,"Equilibrado e encorpado, com taninos macios",3,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Itália,Abruzzo,12.5,Montepulciano,Deangeli Musti Nobilis,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vini-de-angeli-infinitum-montepulciano-d-abruzzo-doc.html
188,88,Vinho tinto espanhol,Torre Oria Crianza Utiel-Requena D.O. 2022,Vermelho-cereja intenso com reflexos púrpura,"Notas intensas de frutas pretas maduras, e nuances de baunilha e cacau","Vivaz, harmonioso, com bom equilíbrio entre taninos e acidez, e final longo e persistente",3,1,2,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho",Vinho tinto,750ml,Rolha,18,Espanha,Utiel-Requena,13,Blend,Torre Oria,2022,2025,Mínimo de 6 meses em barricas de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/torre-oria-crianza-2022.html
190,92,Vinho rosé argentino,Viña de Los Andes Rosé 2024,Rosa cereja translúcido,Aromas frescos e notas intensas de frutas vermelhas,Agradável e delicado,4,4,3,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,8,Argentina,Mendoza,11,Uvas variadas,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/fecovita-vina-de-los-andes-rose-2024.html
191,385,Vinho branco chileno,Selection 92 Reserva Sauvignon Blanc Valle Central 2024,Amarelo brilhante,Aromas elegantes de frutas cítricas e tropicais,"Fresco, harmônico, com boa acidez e final agradável",3,1,4,1,,Vinho branco,750ml,,8,Chile,Valle Central,12.5,Sauvignon Blanc,Ravanal,2024,2025,,"O Chile, com seu clima privilegiado, é um dos países mais importantes no que diz respeito ao cultivo da uva Sauvignon Blanc. E esta versão da linha Selection 92 Reserva é exemplo disso. O resultado é um vinho fresco e harmônico, que revela aromas elegantes de frutas cítricas e tropicais, com boa acidez e final agradável em boca. Estamos falando da pedida perfeita para harmonizar com pratos à base de peixes, frutos do mar e saladas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/ravanal-seleccion-92-reseva-sauvignon-blanc-2024.html
202,115,Vinho tinto europeu,Yannet Selection Vin Rouge 2023,Vermelho-rubi,Aroma de frutas vermelhas,"Agradável em boca, fácil de beber e frutado",3,1,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Europeu,Multirregional,12,Uvas variadas,Le Cailar,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/yannet-selection-vin-rouge-2023.html
207,124,Vinho tinto chileno,El Emperador Cabernet Sauvignon Valle Central 2022,Vermelho-rubi profundo com reflexos violáceos,"Aromas intensos de cereja, groselha preta, especiarias e pimenta verde","Redondo, saboroso, agradável, com boa estrutura",4,1,3,4,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Cabernet Sauvignon,Vina Del Nuevo Mundo,2022,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/el-monumental-cabernet-sauvignon-2022-348511.html
209,387,Vinho tinto argentino,Las Colinas De Los Andes Red Blend 2024,Vermelho-rubi brilhante,"Frutas maduras como cereja, framboesa e toque de cassis","Equilibrado e frutado, com corpo médio e taninos aveludados",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12,Uvas variadas,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/las-colinas-de-los-andes-red-blend-2024.html
213,135,Espumante Branco espanhol,Tanggier Brut,Amarelo-palha,"Notas de pêra, pêssego e minerais","Corpo leve, delicado, com muita fruta",4,2,3,1,"Saladas e aperitivos, Carnes brancas, Frutos do mar",Espumante Branco,750ml,Rolha,9,Espanha,Multirregional,10,Uvas variadas,Lozano,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/tanggier-brut-60472.html
214,136,Vinho tinto argentino,Viña de Los Andes Malbec 2023,Vermelho violáceo intenso,Notas intensas de frutas pretas e especiarias,"Encorpado, com taninos macios e acidez média",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13,Malbec,Fecovita,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-de-los-andes-malbec-2023.html
217,142,Vinho tinto espanhol,Emparrado Blend de Tintas,Vermelho-rubi com reflexos violáceos,"Intenso, com notas de frutas silvestres e nuances de cacau","Sedoso, equilibrado, frutado e persistente, com toques de tostado",4,2,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,Multirregional,14,Uvas variadas,Terra Cellars,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/emparrado-red-blend.html
229,168,Vinho rosé espanhol,Montefrio Rosado Tempranillo La Mancha D.O,Rosa brilhante,Fresco com destaque para notas de morangos,Frutado e refrescante,4,1,3,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Rolha,8,Espanha,La Mancha,11,Tempranillo,Felix Solis,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/montefrio-rosado-tempranillo-la-mancha-44562.html
243,192,Vinho tinto argentino,Atardecer de Los Andes Cabernet Sauvignon 2024,Vermelho-rubi intenso,Aromas de pimenta-preta e pimentão doce,"Marcante, com bom volume e taninos firmes",4,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Cabernet Sauvignon,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/atardecer-de-los-andes-cabernet-sauvignon-2024.html
244,194,Vinho tinto argentino,Zuccardi Los Olivos Malbec 2023,Vermelho com tons violáceos,"Frutas pretas e vermelhas, como amoras e framboesas, com toques de especiarias","Cheio com taninos redondos, boa acidez e persistência",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,14,Malbec,Zuccardi,2023,2025,Estágio em barricas de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/zuccardi-los-olivos-malbec-2023.html
246,207,Vinho tinto chileno,Santa Alicia Merlot Valle Central 2020,Vermelho-rubi,Aroma de frutas vermelhas,"Corpo médio, estruturado e taninos equilibrados",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,15,Chile,Valle Central,13,Merlot,Viña Santa Alicia,2020,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/santa-al-cia-merlot-2020-278991.html
249,214,Vinho branco argentino,Atardecer De Los Andes Torrontés 2024,Amarelo-palha brilhante,"Notas intensas de frutas cítricas, com toques florais","Equilibrado, refrescante, leve e persistente",3,1,3,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Vinho branco,750ml,Tampa de rosca,9,Argentina,Mendoza,12.5,Torrontés,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/atardecer-de-los-andes-torrontes-2024.html
251,220,Vinho tinto argentino,Velvet Collection Stephen Paul Winemaker Selection Cabernet Sauvignon Lote 11 2022,Vermelho-rubi intenso,"Notas de alcaçuz, baunilha e especiarias","Encorpado, revelando taninos envolventes, nuances de frutas vermelhas e romã, e final longo e persistente",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13.5,Cabernet Sauvignon,Belhara Estate,2022,2025,Parte do vinho estagia 4 meses em barricas de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/belhara-estate-velvet-collection-winemaker-selection-cabernet-sauvignon-lote-11-2022.html
264,242,Vinho tinto espanhol,Abadia del Roble La Mancha D.O.,Cereja escuro,Frutas vermelhas,Elegante e persistente,3,1,2,2,"Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha,17,Espanha,La Mancha,12.5,Tempranillo,Bodegas Ayuso,,,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/abadia-del-roble-tempranillo-la-mancha-d-o-9251.html
273,260,Vinho tinto argentino,Baudron Red Blend 2024,Vermelho-rubi vibrante com toques violáceos,"Notas de frutas vermelhas, como framboesa, e toques de groselha preta","Equilibrado, elegante e fácil de beber, com taninos macios",3,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13,Blend,Bodegas y Viñedos Baudron,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/baudron-red-blend-2024.html
279,395,Vinho tinto argentino,Viña de Los Andes Cabernet Sauvignon 2024,Vermelho-rubi,Aromas intensos de frutas vermelhas e pretas maduras,"Estruturado, equilibrado, redondo e suculento, com taninos presentes",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,13,Cabernet Sauvignon,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-de-los-andes-cabernet-sauvignon-2024.html
286,280,Vinho branco italiano,Musti Nobilis Pinot Grigio Delle Venezie DOC 2023,Amarelo-palha,"Notas de maçã-verde, pera e toques cítricos","Fresco, com textura leve e acidez equilibrada",4,2,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho branco,750ml,Rolha,6,Itália,Vêneto,12,Pinot Grigio,Outros,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vini-de-angeli-mustinobilis-pinot-grigio-delle-venezie-doc-2023.html
288,283,Vinho branco português,Pérola da Vinha Vinho Verde DOC,Amarelo-palha brilhante,"Frutas cítricas, toques herbáceos","Corpo leve, acidez acentuada e final frutado e delicado",4,1,4,1,"Frutos do mar, Risoto e massas de molho branco, Saladas e aperitivos",Vinho branco,750ml,Rolha de cortiça,8,Portugal,Vinho Verde,9,"Arinto, Trajadura",Manuel da Costa Carvalho Lima & Filhos,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/perola-da-vinha-vinho-verde-125181.html
290,289,Vinho tinto chileno,Isla Seca Winemaker Selection Cabernet Sauvignon Central Valley D.O. 2024,Vermelho-rubi com reflexos violetas,Aromas de groselhas e cerejas pretas,"Elegante, com bom equilíbrio e taninos maduros",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Chile,Valle Central,12.5,Cabernet Sauvignon,Bodegas y Viñedos de Aguirre,2024,2025,Estágio em tanques de aço inox,"Um dos países mais importantes para a viticultura mundial, o Chile é palco da criação de vinhos para todos os momentos. Aqui, temos um Cabernet Sauvignon com aromas de groselhas e cerejas pretas, e paladar elegante e equilibrado, ideal para acompanhar os almoços em família.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/isla-seca-winemaker-selection-cabernet-sauvignon-central-valley-d-o-2024.html
292,293,Vinho tinto chileno,Vinchante Vin 266 Carménère Central Valley 2022,Vermelho-rubi brilhante com reflexos violáceos,Notas marcantes de amora e outras frutas pretas com toques herbáceos e picantes,Equilibrado e vibrante com corpo médio e taninos redondos,4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha,16,Chile,Valle Central,12.5,Carménère,Ravanal,2022,,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vinchante-carmenere-central-valley-2022.html
298,399,Vinho tinto europeu,La Comté,Vermelho-rubi,Aromas expressivos de frutas pretas frescas,"Encorpado e harmonioso, com taninos macios, acidez equilibrada e final longo",3,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho",Vinho tinto,750ml,Rolha de cortiça,16,Europeu,Multirregional,11,Blend,FSP,,2025,,"Há sempre um motivo para brindar, e o La Comté é mais um. Encorpado e harmonioso, ele revela aromas expressivos de frutas pretas frescas, além de taninos macios e acidez equilibrada em boca. A nossa sugestão é apostar em pratos à base de carnes vermelhas e queijos maduros no momento de harmonizar e brindar com a família ou os amigos.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/la-comte-vce-rouge-sec.html
